ticker,delta_RE,p_value,significant,r2,epsilon,n_obs,market_cap_usd,Security,tier,GICS Sub-Industry,dollar_exposure_usd,exposure_billions,exposure_pct_mcap
C.N,0.090924,0.598,False,0.0021,0.090842,134,187841875186.42,Citigroup,control,Diversified Banks,2719244583.707689,2.7192445837076886,1.4476242749435009
CFG.N,0.279506,0.1409,False,0.0164,0.09963,134,24556147137.54,Citizens Financial Group,control,Regional Banks,1092769803.991126,1.092769803991126,4.450086562319719
CTSH.N,-0.141265,0.4001,False,0.0076,0.078071,95,28565688531.6,Cognizant,control,IT Consulting & Other Services,642475534.1585239,0.6424755341585239,2.2491162201387276
STZ.N,0.014466,0.9105,False,0.0001,0.067815,134,26254398450.8,Constellation Brands,control,Distillers & Vintners,60468313.58132288,0.06046831358132288,0.23031688840496112
DRI.N,0.047929,0.7611,False,0.0007,0.083073,134,22046842727.47,Darden Restaurants,control,Restaurants,168237224.8027006,0.16823722480270062,0.7630898758717946
DDOG.O,-0.194139,0.5703,False,0.0043,0.147808,78,40508900143.92,,,,1252104463.9988687,1.2521044639988688,3.090936706625933
EBAY.O,0.003444,0.9837,False,0.0,0.088864,134,39415040000.0,,,,21612372.201974962,0.021612372201974962,0.05483280545186548
EPAM.N,-0.549039,0.0196,True,0.0406,0.122724,134,7319182409.11,EPAM Systems,control,IT Consulting & Other Services,639798311.3350416,0.6397983113350416,8.741390439165734
EXPE.N,0.220062,0.428,False,0.0068,0.129143,95,27669599672.13,Expedia Group,control,"Hotels, Resorts & Cruise Lines",969449643.3674096,0.9694496433674096,3.503663424317196
FICO.N,-0.189456,0.2923,False,0.0084,0.09461,134,23984500802.04,Fair Isaac,control,Application Software,723463077.3014009,0.7234630773014009,3.016377465066385
FITB.N,0.213462,0.3057,False,0.0113,0.096814,95,40333798200.92,Fifth Third Bancorp,control,Regional Banks,1370777663.4113038,1.3707776634113038,3.3985831351237255
IT.N,-0.197009,0.2576,False,0.0097,0.091489,134,10949384693.48,Gartner,control,IT Consulting & Other Services,343441762.9797482,0.3434417629797482,3.136630711169154
GL.N,0.055146,0.6533,False,0.0015,0.064685,134,10599140895.74,Globe Life,control,Life & Health Insurance,93059776.59755352,0.09305977659755352,0.8779935799792608
GS.N,0.118629,0.4465,False,0.0044,0.082041,134,236847686092.38,Goldman Sachs,control,Investment Banking & Brokerage,4473395942.295418,4.473395942295418,1.8887226707170006
