ticker,company,sector,subsector,delta_PPI,p_value_PPI,significant_PPI,r2,n_obs
FTV.N,Industrial Machinery & Supplies & Components,Industrials,Industrial Machinery & Supplies & Components,-0.115571,0.3749,False,0.4715,99
AIG.N,Property & Casualty Insurance,Financials,Property & Casualty Insurance,-0.114948,0.4476,False,0.293,99
UHS.N,Health Care Facilities,Health Care,Health Care Facilities,-0.114692,0.6028,False,0.409,99
PNR.N,Industrial Machinery & Supplies & Components,Industrials,Industrial Machinery & Supplies & Components,-0.105187,0.3448,False,0.4165,99
CTVA.N,Fertilizers & Agricultural Chemicals,Materials,Fertilizers & Agricultural Chemicals,-0.104882,0.5901,False,0.2563,82
WDAY.OQ,Application Software,Information Technology,Application Software,-0.104407,0.6804,False,0.3316,99
JCI.N,Building Products,Industrials,Building Products,-0.104373,0.4165,False,0.5669,99
SWKS.OQ,Semiconductors,Information Technology,Semiconductors,-0.103767,0.5674,False,0.3868,99
BX.N,Asset Management & Custody Banks,Financials,Asset Management & Custody Banks,-0.103755,0.5761,False,0.529,99
DRI.N,Restaurants,Consumer Discretionary,Restaurants,-0.101386,0.5258,False,0.4211,99
CDW.OQ,Technology Distributors,Information Technology,Technology Distributors,-0.101282,0.5005,False,0.463,99
HON.OQ,Industrial Conglomerates,Industrials,Industrial Conglomerates,-0.09992,0.3876,False,0.5799,99
MRSH.N,Insurance Brokers,Financials,Insurance Brokers,-0.095579,0.3715,False,0.4922,99
HII.N,Aerospace & Defense,Industrials,Aerospace & Defense,-0.09531,0.6003,False,0.2493,99
O.N,Retail REITs,Real Estate,Retail REITs,-0.0943,0.4053,False,0.3591,99
DE.N,Agricultural & Farm Machinery,Industrials,Agricultural & Farm Machinery,-0.094278,0.6058,False,0.3479,99
BLK.N,Asset Management & Custody Banks,Financials,Asset Management & Custody Banks,-0.09275,0.3764,False,0.6655,99
PFG.OQ,Life & Health Insurance,Financials,Life & Health Insurance,-0.092619,0.5444,False,0.506,99
AMD.OQ,Semiconductors,Information Technology,Semiconductors,-0.091455,0.815,False,0.3712,99
CPB.OQ,Packaged Foods & Meats,Consumer Staples,Packaged Foods & Meats,-0.090601,0.5508,False,0.0874,99
CB.N,Property & Casualty Insurance,Financials,Property & Casualty Insurance,-0.090392,0.4985,False,0.2711,99
XYL.N,Industrial Machinery & Supplies & Components,Industrials,Industrial Machinery & Supplies & Components,-0.089815,0.4123,False,0.5362,99
KHC.OQ,Packaged Foods & Meats,Consumer Staples,Packaged Foods & Meats,-0.089443,0.5937,False,0.1489,99
BMY.N,Pharmaceuticals,Health Care,Pharmaceuticals,-0.087884,0.5419,False,0.1474,99
